donacion_id,fecha,tipo_donante,item_id,nombre_item,categoria,unidad_medida,cantidad_donada,valor_estimado_soles,campania
DON00001,2026-07-10,Persona natural,ITM010,Frutas,alimentos,kg,28,401.55,Aniversario ALDIMI
DON00002,2025-06-11,Persona natural,ITM007,Conservas de atún,alimentos,lata,62,370.26,Regular
DON00003,2026-04-30,Empresa,ITM030,Paracetamol pediátrico,medicamentos_soporte,frasco,62,1093.25,Regular
DON00004,2025-09-11,Empresa,ITM013,Papel higiénico,higiene,rollo,11,75.09,Aniversario ALDIMI
DON00005,2025-02-06,Universidad,ITM011,Agua embotellada,alimentos,litro,27,72.31,Regular
DON00006,2025-10-22,Persona natural,ITM025,Vendas,insumos_medicos,unidad,28,55.43,Aniversario ALDIMI
DON00007,2026-01-01,ONG,ITM027,Jeringas descartables,insumos_medicos,unidad,164,743.39,Regular
DON00008,2026-02-28,Empresa,ITM009,Suplemento nutricional,alimentos,unidad,88,540.2,Navidad
DON00009,2026-04-26,Empresa,ITM007,Conservas de atún,alimentos,lata,182,2913.22,Navidad
DON00010,2025-01-23,Persona natural,ITM017,Detergente,higiene,kg,70,128.29,Navidad
DON00011,2025-12-31,Empresa,ITM022,Termómetros digitales,insumos_medicos,unidad,107,766.68,Día del Niño
DON00012,2025-03-31,ONG,ITM025,Vendas,insumos_medicos,unidad,58,893.03,Emergencia
DON00013,2025-12-28,Empresa,ITM018,Alcohol en gel,higiene,unidad,183,780.03,Regular
DON00014,2025-06-11,Persona natural,ITM008,Galletas nutritivas,alimentos,paquete,52,404.97,Día del Niño
DON00015,2025-02-20,Empresa,ITM017,Detergente,higiene,kg,232,3317.32,Regular
DON00016,2025-10-28,Persona natural,ITM001,Arroz,alimentos,kg,63,741.07,Regular
DON00017,2026-02-22,Universidad,ITM021,Gasas estériles,insumos_medicos,paquete,14,118.29,Regular
DON00018,2025-01-27,Persona natural,ITM004,Menestras,alimentos,kg,28,287.98,Emergencia
DON00019,2026-05-16,Iglesia/Comunidad,ITM006,Fideos,alimentos,kg,17,145.29,Regular
DON00020,2026-07-01,ONG,ITM026,Clorhexidina,insumos_medicos,frasco,16,166.05,Regular
DON00021,2025-01-16,Persona natural,ITM008,Galletas nutritivas,alimentos,paquete,38,244.68,Regular
DON00022,2026-03-14,Campaña digital,ITM001,Arroz,alimentos,kg,136,1521.96,Regular
DON00023,2026-02-12,Empresa,ITM001,Arroz,alimentos,kg,127,1658.15,Regular
DON00024,2026-03-22,Persona natural,ITM025,Vendas,insumos_medicos,unidad,47,374.98,Regular
