fecha,item_id,nombre_item,categoria,unidad_medida,ocupacion_familias,stock_inicio,ingreso_stock,consumo_real,stock_fin,consumo_estimado_7d,consumo_estimado_14d,dias_cobertura,stock_critico_7d,stock_critico_14d
2025-01-01,ITM001,Arroz,alimentos,kg,41,161.5,0.0,10.6,150.9,74.2,148.4,14.23,0.0,0.0
2025-01-02,ITM001,Arroz,alimentos,kg,41,150.9,0.0,10.5,140.4,73.85,147.7,13.31,0.0,0.0
2025-01-03,ITM001,Arroz,alimentos,kg,40,140.4,0.0,16.3,124.1,87.27,174.53,9.95,0.0,0.0
2025-01-04,ITM001,Arroz,alimentos,kg,38,124.1,0.0,12.9,111.2,88.03,176.05,8.84,0.0,1.0
2025-01-05,ITM001,Arroz,alimentos,kg,37,111.2,0.0,10.9,100.3,85.68,171.36,8.19,0.0,1.0
2025-01-06,ITM001,Arroz,alimentos,kg,37,100.3,0.0,9.1,91.2,82.02,164.03,7.78,0.0,1.0
2025-01-07,ITM001,Arroz,alimentos,kg,35,91.2,0.0,9.1,82.1,79.4,158.8,7.24,0.0,1.0
2025-01-08,ITM001,Arroz,alimentos,kg,36,198.0,115.9,13.3,184.7,82.1,164.2,15.75,0.0,1.0
2025-01-09,ITM001,Arroz,alimentos,kg,39,184.7,0.0,8.8,175.9,80.4,160.8,15.31,0.0,1.0
2025-01-10,ITM001,Arroz,alimentos,kg,39,175.9,0.0,11.8,164.1,75.9,151.8,15.13,0.0,1.0
2025-01-11,ITM001,Arroz,alimentos,kg,39,164.1,0.0,13.8,150.3,76.8,153.6,13.7,1.0,1.0
2025-01-12,ITM001,Arroz,alimentos,kg,39,150.3,0.0,14.3,136.0,80.2,160.4,11.87,1.0,1.0
2025-01-13,ITM001,Arroz,alimentos,kg,37,136.0,0.0,8.4,127.6,79.5,159.0,11.24,1.0,1.0
2025-01-14,ITM001,Arroz,alimentos,kg,37,127.6,0.0,11.6,116.0,82.0,164.0,9.9,1.0,1.0
2025-01-15,ITM001,Arroz,alimentos,kg,38,116.0,0.0,9.8,106.2,78.5,157.0,9.47,1.0,1.0
2025-01-16,ITM001,Arroz,alimentos,kg,36,106.2,0.0,11.2,95.0,80.9,161.8,8.22,1.0,1.0
2025-01-17,ITM001,Arroz,alimentos,kg,37,95.0,0.0,13.7,81.3,82.8,165.6,6.87,1.0,1.0
2025-01-18,ITM001,Arroz,alimentos,kg,37,81.3,0.0,12.7,68.6,81.7,163.4,5.88,0.0,1.0
2025-01-19,ITM001,Arroz,alimentos,kg,36,192.6,124.0,10.2,182.4,77.6,155.2,16.45,0.0,1.0
2025-01-20,ITM001,Arroz,alimentos,kg,39,182.4,0.0,10.6,171.8,79.8,159.6,15.07,0.0,1.0
2025-01-21,ITM001,Arroz,alimentos,kg,40,171.8,0.0,11.3,160.5,79.5,159.0,14.13,1.0,1.0
2025-01-22,ITM001,Arroz,alimentos,kg,42,160.5,0.0,10.5,150.0,80.2,160.4,13.09,1.0,1.0
2025-01-23,ITM001,Arroz,alimentos,kg,44,150.0,0.0,9.4,140.6,78.4,156.8,12.55,1.0,1.0
2025-01-24,ITM001,Arroz,alimentos,kg,41,140.6,0.0,12.1,128.5,76.8,153.6,11.71,1.0,1.0
2025-01-25,ITM001,Arroz,alimentos,kg,41,128.5,0.0,15.2,113.3,79.3,158.6,10.0,1.0,1.0
2025-01-26,ITM001,Arroz,alimentos,kg,43,113.3,0.0,13.6,99.7,82.7,165.4,8.44,1.0,1.0
2025-01-27,ITM001,Arroz,alimentos,kg,45,99.7,0.0,16.7,83.0,88.8,177.6,6.54,1.0,1.0
2025-01-28,ITM001,Arroz,alimentos,kg,46,83.0,0.0,11.5,71.5,89.0,178.0,5.62,1.0,1.0
2025-01-29,ITM001,Arroz,alimentos,kg,46,71.5,0.0,11.3,60.2,89.8,179.6,4.69,0.0,0.0
2025-01-30,ITM001,Arroz,alimentos,kg,48,186.9,126.7,11.5,175.4,91.9,183.8,13.36,0.0,0.0
