donacion_id,fecha,tipo_donante,item_id,nombre_item,categoria,unidad_medida,cantidad_donada,valor_estimado_soles,campania
DON00001,2022-09-06,ONG,ITM007,Conservas de atún,alimentos,lata,38,332.75,Regular
DON00002,2022-09-11,Persona natural,ITM002,Avena,alimentos,kg,5,30.13,Regular
DON00003,2022-09-19,Persona natural,ITM003,Leche evaporada,alimentos,lata,4,31.11,Regular
DON00004,2022-09-01,Persona natural,ITM004,Menestras,alimentos,kg,4,36.67,Emergencia
DON00005,2022-09-06,Persona natural,ITM006,Fideos,alimentos,kg,3,29.5,Regular
DON00006,2022-09-01,Iglesia/Comunidad,ITM001,Arroz,alimentos,kg,11,104.3,Regular
DON00007,2022-09-17,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,7,60.79,Regular
DON00008,2022-09-29,Iglesia/Comunidad,ITM005,Aceite vegetal,alimentos,litro,9,74.05,Regular
DON00009,2022-09-10,Persona natural,ITM002,Avena,alimentos,kg,7,67.86,Regular
DON00010,2022-09-01,Persona natural,ITM007,Conservas de atún,alimentos,lata,13,118.69,Regular
DON00011,2022-09-21,Persona natural,ITM009,Suplemento nutricional,alimentos,unidad,4,28.7,Regular
DON00012,2022-09-05,Campaña digital,ITM011,Agua embotellada,alimentos,litro,24,169.91,Regular
DON00013,2022-09-21,ONG,ITM005,Aceite vegetal,alimentos,litro,38,314.13,Regular
DON00014,2022-09-06,Empresa,ITM004,Menestras,alimentos,kg,70,705.05,Regular
DON00015,2022-09-20,Campaña digital,ITM008,Galletas nutritivas,alimentos,paquete,16,109.5,Regular
DON00016,2022-09-01,Empresa,ITM007,Conservas de atún,alimentos,lata,35,291.57,Regular
DON00017,2022-09-10,ONG,ITM008,Galletas nutritivas,alimentos,paquete,19,181.23,Regular
DON00018,2022-09-23,Iglesia/Comunidad,ITM012,Ensure pediátrico,alimentos,unidad,17,138.53,Regular
DON00019,2022-09-01,Persona natural,ITM002,Avena,alimentos,kg,4,28.87,Regular
DON00020,2022-09-13,Persona natural,ITM005,Aceite vegetal,alimentos,litro,7,66.18,Regular
DON00021,2022-09-02,Empresa,ITM009,Suplemento nutricional,alimentos,unidad,32,319.36,Regular
DON00022,2022-09-06,ONG,ITM003,Leche evaporada,alimentos,lata,43,337.52,Regular
DON00023,2022-09-15,Universidad,ITM003,Leche evaporada,alimentos,lata,12,105.87,Regular
DON00024,2022-09-26,Persona natural,ITM006,Fideos,alimentos,kg,3,27.03,Regular
DON00025,2022-09-16,Empresa,ITM002,Avena,alimentos,kg,49,467.44,Regular
DON00026,2022-09-27,Empresa,ITM012,Ensure pediátrico,alimentos,unidad,42,331.22,Regular
DON00027,2022-09-09,Empresa,ITM011,Agua embotellada,alimentos,litro,38,263.98,Regular
